x,y,time
282,197,4967
279,199,6633
279,199,8300
287,189,11633
279,197,14967
279,199,16633
281,187,18300
271,204,19967
293,177,21633
284,202,23300
271,214,24967
281,204,26633
271,204,28300
284,244,29967
284,251,31633
286,259,34967
288,256,38300
311,301,41633
313,309,43300
316,309,44967
321,309,46633
321,339,48300
328,319,49967
276,202,51633
276,202,53300
296,174,54967
293,180,56633
290,184,58300
290,183,59967
298,188,61633
336,402,63300
291,183,64967
353,428,66633
358,434,68300
351,429,69967
365,441,71633
362,440,73300
355,435,74967
368,441,76633
369,440,78300
362,437,79967
365,438,81633
377,446,83300
389,446,84967
292,184,86633
393,445,88300
393,447,89967
395,447,91633
292,180,93300
293,180,94967
290,182,96633
290,184,98300
430,444,99967
418,446,101633
425,446,103300
437,444,104967
290,184,106633
293,184,108300
475,448,109967
287,186,111633
492,443,113300
290,184,114967
292,186,116633
291,179,118300
509,446,119967
291,182,121633
291,181,123300
556,450,126633
557,448,128300
548,447,129967
558,448,131633
