x,y,time
581,420,4967
573,425,6633
578,422,8300
586,424,9967
591,423,11633
592,421,13300
597,420,14967
607,418,16633
609,415,18300
615,413,19967
620,410,21633
625,409,23300
636,406,24967
638,405,26633
643,403,28300
649,401,29967
655,399,31633
658,395,33300
674,393,34967
677,390,36633
675,391,38300
692,387,39967
688,387,41633
694,385,43300
701,384,44967
707,385,46633
714,386,48300
724,386,49967
725,386,51633
738,386,53300
739,383,54967
742,380,56633
746,382,58300
762,379,59967
763,380,61633
771,381,63300
770,381,64967
786,384,66633
786,383,68300
799,386,69967
809,394,71633
812,394,73300
817,394,74967
830,391,76633
837,387,78300
851,384,79967
859,377,83300
871,376,84967
880,374,86633
891,373,88300
898,371,89967
907,370,91633
913,370,93300
917,370,94967
913,371,96633
